TITLE,AUTHOR,TRANSLATOR,PUBLICATION,CATEGORY,IMAGE,URL
"Anne de Russie et Catherine d'Autriche, ou les chevaliers de l'Ordre Teutonique",madame Barthelemy Hadot,,1818,1; 3,,
Année (l') la plus remarquable de ma vie,Auguste de Kotzebüe ,anonyme,1802,,,
"Annette et Wilhem, ou la constance éprouvée",Auguste de Kotzebüe ,madame de Morel,1821,,,
Antiquaire (l') ,Walter Scott,madame de Marèse,1817,1,,
"Antar, roman bédoin",Terric Hamilton,,1819,,,
"Antonia Wilsen, ou la femme telle qu'elle est, et l'ami comme il y en peu",G. Schilling,madame A. Ceillier,1820,,,
Antoinette et Valmont,Math. Christophe,,,,,
"Antonio, ou les tourmens de l'amour, et ses douces illusions dans un coeur sensible",Antoine Galland,,1797,,,
"Après (les) soupers d'Alexandrie, ou les soirées des dames françaises à la suite de l'armée d'Orient ",anonyme,,1809,4,,
"Arabelle et Mathilde, ou les Normands en Italie",madame Barthelemy Hadot ,,1819,1; 3,,
"Archambaud et Roger, ou le siège de Metz",madame Barthelemy Hadot ,,1817,1,,
"Argus Dogue d'Eadlip, ou correspondance de famille",anonyme,anonyme,1803,,,
"Arindal, ou le jeune peintre",madame Beaufort d'Hautpoul,,1811,2,,
Aristomène,Auguste Lafontaine,madame de Montolieu,1804,1,,
Arundel,R. Cumberland,B. Ducos,1798-1799,,,
"Atala et Musacop, histoire péruvienne; suivie des Petits orphelins des hameaux",madame Guénard,,1821,1,,
"Atala, ou les amours de deux sauvages dans le désert",François-René de Chateaubriand,,,2,,
Athanasie de Réalmont,madame Louise Brayer de Saint-Léon,,1817,1,,
"Atelwold et Clara, ou la montagne de fer",madame Barthelemy Hadot ,,1818,1; 3,,
Auguste et Frédéric,madame de Bauer,,1817,2,,
"Auguste et Justine, ou la veuve artificieuse",F. T. Delbare,,1801,,,
Augustes (les) victimes du Temple,madame Guénard,,1818,1,,
"Aurélie et Dorothée, ou la religieuse par amour",madame de Saint-Venant,,1814,,,
"Aurélie, ou le bigame",madame Derome,,1814,,,
"Aurora, ou l'amante mystérieuse",anonyme,anonyme,1802,,,
"Avadoro, histoire espagnole",M. L. C. J. P ,,1813,,,
"Aventures (les) d'Abdalla, et ses voyages à l'île de Borico ",anonyme,anonyme,1773,,,
"Aventures de Donald Campbell dans un voyage aux Indes, par terre, et Anecdotes piquantes sur l'originalité de son guide Hassan Artas",anonyme,anonyme,1798-1799,,,
Aventures d'Eugène de Senneville et de Guillaume Delorme,Eugène de Senneville,,1815,1,,
Aventures de Joseph Andrews ,anonyme,,1807,,,
"Aventures de Télamon, on les Athéniens sous la monarchie",madame de Renneville,,1819,3,,
Aventures d'un jeune officier français dans le royaume de Naples,Grandjean de Fouchy,,1821,,,
"Aventures et plaisante éducation du courtois chevalier Charles-le-Bon, sire d'Armagn",M. de Mayer,,1786,,,
"Aventurier (I') hollandais, ou la vie et les aventures divertissantes et extraordinaires d'un Hollandais ",anonyme,,1801,,,
"Aveux (les) au tombeau, ou la famille du forestier ",Auguste Lafontaine,madame Élise Voïart,1817,1,,
"Aveux (les) de Clara, ou faiblesse et repentir",madame de Montholon,,1820,,,
Aveux (les) de l'amitié,madame Elisabeth de Bon,,1801,1,,
Aveux (les) d'une jolie femme ,anonyme,,1781,,,
Avocat (l') des femmes,anonyme,,,,,
"Azalaïs et gentil Aimar, histoire provençale",anonyme,,1798-1799,,,
"Bachelier (le) de Salamanque, ou mémoires de don Cherubin de la Ronda",Lesage,,1813,1; 3,,
"Bagatelles, promenades d'un désoeuvré dans la ville de Saint-Pétersbourg ",anonyme,,1758,,,
"Bal (le) masqué, ou Edouard",Auguste Lafontaine,Duperche,1817,1,,
Bandit (le) sans le vouloir et sans le savoir,Cuvelier,,1809,,,
"Bannière (la) noire, ou le siège de Clagenfurth",madame Guénard,,1820,1; 2,,
"Barbarinski, ou les brigands du château de Wissegrade",madame la comtesse de Nardouet,,1818,,,
"Barbe Radziwil, roman historique, tiré de l'histoire de Pologne, au xvi° siècle ",anonyme,,1820,,,
"Bardouc, ou le pâtre du Mont-Taurus; traduit sur un manuscrit persan",Adrien de Sarrazin,,1814,,,
"Barnek et Saldorf, ou le triomphe de l'amitié",Auguste Lafontaine,,1818,1,,
"Baron (le) de Fleming, ou la manie des titres",Auguste Lafontaine,madame de Cerenville,,1,,
Baron (le) de Trenck,anonyme,,,,,
"Barons (les) de Felsheim, histoire allemande, qui n'est pas tirée de l'allemand",Pigault-Lebrun,,1818,1,,
"Barozzi, ou les sorciers vénitiens, chronique du xve siècle",Charlotte Smith,anonyme,1817,,,
"Bâtard (le) de Lovelace, et la fille naturelle de la marquise de Merteuil, ou les moeurs vengées ",anonyme,M. Cuisin,1806,,,
"Bathilde, reine des Francs; roman historique",madame Simons Candeille,,1814,2,,
Battuécas (les). ,madame de Genlis,,1817,1; 3,,
Bayard,anonyme,,,,,
Beauté et laideur,mistriss Elisabeth Bennett,,1820,,,
Bélisaire,madame de Genlis,,1808,1; 3,,
Bélisaire,Marmontel,,,,,
Belle (la) Abelina ou les meurtriers du vieil André ,anonyme,,1803,,,
"Belle (la) Indienne, ou la petite-fille du Grand Mogol",anonyme,anonyme,1798,,,
Belle (la) sorcière de Clas-Llyn conte de mon hôte,Walter Scott,madame Collet,1805,1,,
"Benno d'EIzembourg, on la succession de Toscane",baron de Book,M. Duperche,1805,,,
"Berceau (le) de roses sauvages, ou l'héritière méconnue",madame Castellerat,,,,,
Berger (le) d'Arverne; nouvelle historique,F. Demurat,,1804,,,
"Bibliothèque pastorale contenant les chefs-d'oeuvre des meilleurs poëtes pastoraux, anciens et modernes; recueil essentiellement utile aux personnes qui veulent jouir de la campagne ",Chaussard,,1803,,,
"Biévriana, ou jeux de mots ",M. de Bièvre,,1814,,,
Bijoux (les) indiscrets ,Diderot,,,,,
"Blanche et Minna, ou les moeurs bourgeoises",Auguste Lafontaine,J. B. J. Breton,1813,1,,
Bobonne de Kerkerakou ou les malheurs de Cléophile de Saint-Solange,Ducray jeune,,1817,,,
Contes ,Bocace,,,,,
"Bohémienne (la) de la forêt noire, ou les mystères du château d'Artfeld, tiré d'une ancienne chronique allemande",anonyme,,1820,2,,
"Bonhomme (le) Blondel, ou les trois soeurs et les deux victimes",J. R. Ronden,,1816,4,,
"Boris, nouvelle",A. Saint-Hippolyte,,1819,,,
"Brassmann, ou le père inexorable",Dampsnartin,,1801,,,
"Bridgetina, ou les philosophes modernes",madame Harailton,M. B*,1802,,,
"Brigand (le) des Apennins, ou les aventures mémorables du fameux Diavolo Sacripanti ",anonyme,anonyme,1819,,,
Brigand (le) de Venise,Lewis,anonyme,1806,2,,
"Brigands (les) des Pyramides, ou le mystérieux don Ténébros",madame la comtesse de Nardouet,,1819,,,
"Bruce, ou le Don Quichotte de l'amitié",anonyme,anonyme,1801,,,
"Busiris, ou le nouveau Télémaque",J. S. Quesné,,1801,,,
Caleb Williams,anonyme,,,,,
"Caloandre (le) fidèle, et les désespérés",anonyme,,,,,
"Camilla, ou la peinture de la jeunesse",miss Burney,anonyme,1798,1,,
"Camille, ou lettres de deux filles de ce siècle ",anonyme,,1785,,,
"Campagnes (les) de l'abbé Poulet en Espagne, pendant les années 1809, 1810 et 1812",J. B. Picquenard,,1815,2,,
"Capitaine (le) Subtle, ou l'intrigue dévoilée",anonyme,madame la baronne de Duplessy,1811,,,
Campo (le) santo ou les effets de la calomnie,M. L'Homme Saint-Alphonse,,1819,2,,
"Captif (le) de Valence, ou les derniers momens de Pie VI",madame Guénard,,1802,1,,
"Capucins (les), on le secret du cabinet noir ",madame Guénard,,1819,1; 4,,
"Carbonari (les), ou le livre de sang",J. B. Regnault-Warin,,1820,,,
Carite et Porydore,l'abbé Barthélémy,,1798,,,
Caroline ou le danger des fausses interprétations ,anonyme,anonyme,1819,,,
Caroline de Lichtfield,madame de Montolieu,,1821,1; 3,,
"Catherine Ière, impératrice de toutes les Russies, seconde femme de Pierre-le-Grand",madame A. Gottis,,,2,,
"Catherine Shirley, ou la Veille de Saint-Valentin",miss Opie,anonyme,1816,2; 3,,
Caverne (la) de la mort,anonyme,,1813,,,
Caverne (la) de Sainte-Marguerite ,mistriss Helme,anonyme,1820,1; 2,,
"Cavernes (les) des brigands, ou recueil des assassinats et brigandages des scélérats qui ont expié leurs crimes, ou dans leurs entreprises, ou sur l'échafaud",anonyme,,,,,
"Cavernes (les) des Montagnes bleues, ou orgueil et haine",M. Marchais de Migneaux,,1820,2,,
"Cécile de Chatenai, ou le pouvoir et les charmes de l'harmonie",madame Guénard,,1814,1,,
"Cécile, ou l'élève de la pitié",madame de Choiseul-Meuse,,1806,2; 3,,
"Cécilia, ou mémoires d'une héritière",miss Burney,,1814,1,,
"Célestine, ou les époux sans l'être",Bellin de la Liborlière,,1800,2,,
"Cent (les) vingt jours, ou les quatre nouvelles",M. de Kinglin ; Pigault-Lebrun,,1816,1,,
"Chalet (le) des Hautes-Alpes, suivi de deux feuillets du Journal de mon ami Gustave",madame de Montolieu,,1813,1; 3,,
"Champion (le) de la vertu, ou le vieux baron anglais",M. de Laplace,,,,,
Chapelle (la) d'Ayton ou Emma Courtenay ,anonyme,,1810,2,,
"Charles Bontems et Lise le riche, ou les suites de la prévention paternelle",M. Lebel,,1819,,,
Charles D'Elival et Alphonsine de Florentino suite D'Elival et Caroline,M. le comte de Lacépède,,1817,,,
"Charles de Fléval, ou les aventures d'un jeune homme du siècle de Louis XIV",E. B.,,1808,,,
Charles de Montfort,madame de Marèse ,,1817,,,
Charles de Valence,Louise Dauriat,,1820,,,
Charles et Angélina,anonyme,,,,,
"Charles et Emma, ou les amis d'enfance",Auguste Lafontaine,M. de Chazet,1810,1,,
"Charles et Hélène de Moldorf, ou huit ans de trop",Mesner,madame de Montolieu,1814,,,
Charles et Marie,madame de Flahaut,,1819,1,,
Charles-le- Mauvais ou la Cour de Navarre; roman historique,madame Guénard,,1817,,,
"Chartes, ou les inconvéniens du célibat",madame Maurer,,1818,,,
"Charles, ou Mémoires historiques de M. de Labussière, ex-employé au comité de salut public; servant de suite à l'Histoire de la révolution française",Liénard,,1804,,,
"Charmansage, ou mémoires d'un jeune citoyen faisant l'éducation d'un ci-devant noble",Le Suire,,1792,,,
Charpentier (le) de Saardam; anecdote du règne de Pierre- le-Grand,madame Guénard,,1817,,,
"Château (le) d'Albert, ou le squelette ambulant",anonyme,anonyme,1799,,,
"Château (le) de Bothwel, ou l'héritier",Antoine Galland,,1819,,,
"Château (le) de Cliffort, ou le souterrain de la forêt ",anonyme,,1819,,,
Château (le) de Juvisy,madame de Flamanville,,1818,,,
"Château (le) de Marozzi, ou l'orpheline persécutée",madame la comtesse Amélie de C*,,1819,,,
Château (le) de Néville,anonyme,M. Lebrun-des-Charmettes,1803,,,
Château (le) de Pontéfract,Walter Scott,madame Collet,1821,1,,
"Château (le) de Saint-Alpin, ou la forêt ",anonyme,,1802,2,,
"Château (le) de Saint-Hilaire, ou le frère et la soeur devenus époux",Henriette Lee,,,,,
Château (le) de Sindal,M. A. D***,,1816,,,
"Château (le) de Sombremar, ou les deux fantômes",madame la comtesse de Nardouet,,1821,,,
Château (le) de Surville,anonyme,,,,,
"Château (le) de Valmire, ou Pauline et Théodore",mademoiselle Vanhove,,1821,,,
"Château (le) de Vauvert, ou le charriot de feu de la rue d'Enfer",B***,,1812,,,
"Château (le) du Lac, ou le génie réparateur",Paccard,,1819,,,
"Château (le) du mystère, ou Adolphe et Eugénie",Brissot de Warville,,1817,,,
"Château (le) du Tyrol, ou la famille Renneville",M. la R. Hubert,,1821,,,
Châteaux (les) de Dumhaine ët d'Athlin ,Ann Radcliffe,,1819,,,
"Châteaux (les) et les Chaumières, ou le bienfait et la reconnaissance ",anonyme,,1820,,,
Châteaux  (les) suisses; anciennes anecdotes et chroniques,madame de Montolieu,,1817,1; 3,,
"Chefs (les) écossais, roman historique",miss Jane Porter,,1820,1,,
"Chevalier (le) aux armes noires, ou le château des précipices",madame la comtesse de Nardouet,,1820,,,
"Chevalier (le) de Blamont, ou quelques folies de ma jeunesse",madame Guénard,,1802,1; 4,,
Chevalier (le) de la Vérité,anonyme,Lamarre,1814,,,
Chevalier (le) de Saint-Jean,miss Maria Porter,Jean Cohen,1818,1,,
"Chevalier (le) des sept montagnes, ou aventures arrivées dans le XIIIe siècle",baron de Bock,,1800,2,,
"Chevalier (le) Huldmann de Berhinger, ou la caverne de la montagne des revenans",madame la comtesse de Montholon,,1820,,,
"Chevalier (le)  Robert, surnommé le brave",comte de Tressan,,1800,,,
"Chevaliers (les) du Cygne, ou la cour de Charlemagne",madame de Genlis,,1818,1; 3,,
Chevalier (le) Tardif de Courtac,madame de Bellenlare,,1820,2,,
"Choix d'anecdotes anciennes et modernes, ou recueil de traits d'histoire, particulièrement relatifs à Louis xvi et à sa famille",Poncelin,,,3,,
Choix de Contes et de Nouvelles dédiés aux femmes,Auguste Lafontaine,madame Élise Voïart,1820,1; 3,,
Choix de nouveaux Contes moraux,Marie Edjeworth,V.-B.,1804,3,,
"Choses (les) comme elles sont, ou aventures de Caleb Williams",William Godwin,,1797,,,
"Christine, reine de Suède, ou la fille du grand Gustave",M. Paccard,,1816,,,
Chroniques allemandes ,anonyme,,1818,,,
Cimetière (le) de la Madeleine,Regnault-Warin,,1800,2,,
Cinq Nouvelles,R. J. Durdent,,1807,3,,
Cinquante (les) francs de Jeannette,Ducray-Duminil,,1813,1; 3,,
"Cinthelia, ou une sur dix mille",anonyme,anonyme,1800,,,
Citateur (le),Pigault-Lebrun,,1811,1,,
Claire d'Albe,madame Cottin,,1817,1,,
"Clara Lennox, ou la veuve infortunée",anonyme,général Lassalle,1798,,,
"Clara, ou les femmes seules savent aimer",madame la baronne Lamothe-Fouqué,F. J***,1821,,,
Clarentine,miss Burney,madame Elisabeth de Bon,1819,1,,
Clarisse Harlowe,Samuel Richardson,Letourneur,1802,1; 3,,
Clémence de Lautrec,M. Morel de Vindé,,1807,,,
"Clémence de Sorlieu, ou l'homme sans caractère",madame de Chemin,,1809,2,,
"Clémence, roman moral, dans lequel les jeunes personnes dont le coeur serait engagé trouveront des principes et des exemples utiles",madame Antoinette Legroin de la Maison-Neuve,,1802,3,,
"Clémentina, ou le sigisbéisme",R. J. Durdent,,1818,3,,
"Clémentine orpheline, et androgyne",Cuisin,,1820,,,
"Clémentine, ou l'Evélina française",madame Beaufort d'Hautpoul,,1809,2,,
"Cléopâtre, roman historique ",anonyme,,1789,,,
Cleveland ,,,,,,
"Clotilde de Hapsbourg, ou le tribunal de Nevstadt",madame Barthelemy Hadot ,,1817,1; 3,,
"Clotilde, reine de France",madame V. M.,,1810,,,
"Coelina, ou l'enfant du mystère",Ducray-Duminil,,1818,1; 3,,
Coin (le) du feu du pasteur,miss Jane Porter,madame Elisabeth de Bon,1817,1,,
"Colin Maillard (le), ou mes Caravanes; mémoires historiques de la fin du XVIIIe siècle",Plancher-de-Valcourt,,1816,4,,
"Collection des Romans, et Contes imités de l'anglais",M. Delaplace,,1788,,,
"Colons (les) de toutes les couleurs, histoire d'un établissement nouveau à la côte de Guinée",M. de Texier,,1798,,,
"Comiphonie (la), ou les femmes dans le délire",anonyme,T. P. Bertin,1803,,,
"Compère (le) Mathieu, ou les bigarrures de l'esprit humain",anonyme,,,,,
"Comte (le) Arthur de Standfort, roman de chevalerie",anonyme,anonyme,1820,,,
Comte (le) de Comminge,,,,,,
"Comte (le) de Corke, surnommé le Grand, ou la séduction sans artifice",anonyme,,1819,,,
"Comte (le) de Saint- Hérem, ou ma cinquantième année",madame la comtesse A. de Macheco,,1820,,,
"Comte (le) de Soissons, et la duchesse d'Elbeuf",madame de ***,,1805,,,
"Comte (le) d'Onamar, ou les fantômes de l'imagination",anonyme,anonyme,,,,
"Comte (le) de Valmont, ou les égaremens de la raison",M. l'abbé Gérard,,1820,3,,
Comte (le) Vappa ou le crime et le fatalisme,chevalier de ***,,1820,,,
Comte (le) de Waldheim et son intendant Wildman,anonyme,madame de Montolieu,1812,,,
Comtesse (la) de Kiburg ou les liaisons politiques,Auguste Lafontaine,madame Élise Voïard,1813,1,,
"Conrard, ou le croisé",anonyme,anonyme,1799,,,
"Constance d'Auvalière, et Jules d'Espermon",madame Bournon Malarme,,1813,,,
"Constance de Lindensdorff, ou la tour de Wolfenstad ",madame P***,Sophie Francès,1808,,,
"Constantia Neville, ou la Jeune Américaine",Helena Wells,M. B*,1801,,,
"Constantine, ou le danger des préventions maternelles",madame L. J.,,1802,,,
"Confessions (les),  suivies des Rêveries du Promeneur solitaire ",Jean-Jacques Rousseau,,1782,4,,
"Contes de Bocace, traduction nouvelle, augmentée de divers Contes et Nouvelles",Sabatier de Castres,,,4,,
Contes des fées,Charles Perrault,,1820,3,,
"Contes (les) des Génies, on les charmantes leçons d'Horam",anonyme,,1782,,,
Contes et Chansons champêtres,Robert Bloom,E. L. De Vaisse,1802,,,
Contes et Romans ,Voisenon,,1775,4,,
Contes gothiques,anonyme,,1818,,,
Contes (les) merveilleux dédiés aux mères et aux filles,anonyme,,1814,3,,
Contes moraux de ma grand'tante,Ducray-Duminil,,,1; 3,,
Contes (les) moraux ,Marmontel,,,2,,
"Contes moraux, et Nouveaux Contes moraux",madame de Genlis,,1819,1; 3,,
"Contes nouveaux, et Nouvelles nouvelles",Adrien de Sarrazin,,1813,,,
Contes (les) moraux,Mesner,anonyme,1802,3,,
"Contes noirs et blancs, ou marqueterie littéraire",anonyme,T. P. Bertin,1803,,,
"Contes (les) noirs, ou les frayeurs populaires",Jacques Saint-Alpin,,1818,,,
"Contrastes (les), ou le modèle des femmes",anonyme,M. D.,1819,,,
"Coralie de Beaumont, ou la piété filiale",madame L. F.,,1801,,,
"Coralie, ou le danger de l'exaltation chez les femmes",madame Caroline Pichler,madame Elise Voïard,1820,2,,
"Corinne, ou l'Italie",madame de Staël-Holstein ,,1818,1,,
"Corisandre de Beauvilliers, anecdote française ",Charlotte Smith,madame de Montolieu,1806,2,,
"Correspondance de deux amies ou lettres écrites d'Evian en Chablais, à Baden en Autriche",madame P. W,,1806,2,,
Correspondance de Suzette Césarine d'Arly,Lantier,,1814,,,
"Coupable (le), ou les vengeances de miss Scharp",anonyme,J.F. André,1799,,,
"Courrier (le) russe, ou Cornélie de Justal",madame de Chemin,,1813,2,,
Cousin (le) de Mahomet,Fromaget,,,4,,
Couvent (le) de Saint-Dominique,madame de Rivarol,,1801,,,
